date,open,high,low,close,adjusted_close,volume
1980-12-12,28.7392,28.8736,28.7392,28.7392,0.0984,469033600
1980-12-15,27.3728,27.3728,27.2608,27.2608,0.0933,175884800
1980-12-16,25.3792,25.3792,25.2448,25.2448,0.0864,105728000
1980-12-17,25.872,26.0064,25.872,25.872,0.0886,86441600
1980-12-18,26.6336,26.7456,26.6336,26.6336,0.0912,73449600
1980-12-19,28.2464,28.3808,28.2464,28.2464,0.0967,48630400
1980-12-22,29.6352,29.7472,29.6352,29.6352,0.1014,37363200
1980-12-23,30.8672,31.0016,30.8672,30.8672,0.1056,46950400
1980-12-24,32.5024,32.6144,32.5024,32.5024,0.1112,48003200
1980-12-26,35.504,35.616,35.504,35.504,0.1215,55574400
1980-12-29,35.9968,36.1312,35.9968,35.9968,0.1232,93161600
1980-12-30,35.2576,35.2576,35.1232,35.1232,0.1202,68880000
1980-12-31,34.2496,34.2496,34.1152,34.1152,0.1168,35750400
1981-01-02,34.496,34.7424,34.496,34.496,0.1181,21660800
1981-01-05,33.8688,33.8688,33.7568,33.7568,0.1155,35728000
1981-01-06,32.368,32.368,32.256,32.256,0.1104,45158400
1981-01-07,31.0016,31.0016,30.8672,30.8672,0.1056,55686400
1981-01-08,30.3744,30.3744,30.24,30.24,0.1035,39827200
1981-01-09,31.8752,32.0096,31.8752,31.8752,0.1091,21504000
1981-01-12,31.8752,31.8752,31.6288,31.6288,0.1083,23699200
1981-01-13,30.6208,30.6208,30.5088,30.5088,0.1044,23049600
1981-01-14,30.6208,30.7552,30.6208,30.6208,0.1048,14291200
1981-01-15,31.248,31.4944,31.248,31.248,0.107,14067200
1981-01-16,31.136,31.136,31.0016,31.0016,0.1061,13395200
1981-01-19,32.8832,32.9952,32.8832,32.8832,0.1125,41574400
1981-01-20,32.0096,32.0096,31.8752,31.8752,0.1091,30083200
1981-01-21,32.5024,32.7488,32.5024,32.5024,0.1112,15904000
1981-01-22,32.8832,33.1296,32.8832,32.8832,0.1125,35548800
1981-01-23,32.8832,32.9952,32.7488,32.7488,0.1121,11222400
1981-01-26,32.368,32.368,32.256,32.256,0.1104,24640000
1981-01-27,32.256,32.256,32.0096,32.0096,0.1096,23699200
