timestamp,gmtoffset,Date,Open,High,Low,Close,Volume
1602457200,0,2020-10-11 23:00:00,1.182033,1.182732,1.181893,1.181893,
1602460800,0,2020-10-12 00:00:00,1.181614,1.182592,1.181474,1.181614,
1602464400,0,2020-10-12 01:00:00,1.181614,1.182872,1.181195,1.182172,
1602468000,0,2020-10-12 02:00:00,1.182172,1.182452,1.181753,1.182172,
1602471600,0,2020-10-12 03:00:00,1.181893,1.182732,1.181893,1.182033,
1602475200,0,2020-10-12 04:00:00,1.182033,1.182732,1.182033,1.182172,
1602478800,0,2020-10-12 05:00:00,1.182172,1.183151,1.182033,1.182452,
1602482400,0,2020-10-12 06:00:00,1.182312,1.183011,1.181474,1.181893,
1602486000,0,2020-10-12 07:00:00,1.181893,1.182592,1.181055,1.182312,
1602489600,0,2020-10-12 08:00:00,1.182172,1.182312,1.181055,1.181334,
1602493200,0,2020-10-12 09:00:00,1.181614,1.182033,1.17994,1.180637,
1602496800,0,2020-10-12 10:00:00,1.181055,1.181334,1.18008,1.18008,
1602500400,0,2020-10-12 11:00:00,1.180219,1.180219,1.179106,1.179801,
1602504000,0,2020-10-12 12:00:00,1.17994,1.181893,1.17994,1.181334,
1602507600,0,2020-10-12 13:00:00,1.181195,1.182033,1.180916,1.181753,
1602511200,0,2020-10-12 14:00:00,1.181614,1.182033,1.181195,1.181614,
1602514800,0,2020-10-12 15:00:00,1.181753,1.182033,1.180637,1.180916,
1602518400,0,2020-10-12 16:00:00,1.180776,1.181893,1.180637,1.181753,
1602522000,0,2020-10-12 17:00:00,1.181474,1.181614,1.180776,1.181334,
1602525600,0,2020-10-12 18:00:00,1.181195,1.181614,1.181195,1.181334,
1602529200,0,2020-10-12 19:00:00,1.181614,1.182033,1.181334,1.181753,
1602532800,0,2020-10-12 20:00:00,1.181614,1.182033,1.181474,1.181893,
1602536400,0,2020-10-12 21:00:00,1.182172,1.182452,1.181055,1.182033,
1602540000,0,2020-10-12 22:00:00,1.181753,1.182172,1.181614,1.181753,
1602543600,0,2020-10-12 23:00:00,1.181893,1.182172,1.181614,1.181614,
1602547200,0,2020-10-13 00:00:00,1.181614,1.181753,1.179801,1.180358,
1602550800,0,2020-10-13 01:00:00,1.180358,1.180916,1.17994,1.17994,
1602554400,0,2020-10-13 02:00:00,1.17994,1.180358,1.179384,1.18008,
1602558000,0,2020-10-13 03:00:00,1.17994,1.180498,1.179662,1.17994,
1602561600,0,2020-10-13 04:00:00,1.179801,1.180498,1.179662,1.180358,
1602565200,0,2020-10-13 05:00:00,1.180219,1.180916,1.179662,1.179801,
1602568800,0,2020-10-13 06:00:00,1.179662,1.180358,1.179245,1.179245,
1602572400,0,2020-10-13 07:00:00,1.178828,1.179523,1.178272,1.178411,
1602576000,0,2020-10-13 08:00:00,1.17855,1.180358,1.17855,1.179662,
1602579600,0,2020-10-13 09:00:00,1.179106,1.180219,1.179106,1.179245,
1602583200,0,2020-10-13 10:00:00,1.179106,1.179662,1.178967,1.179523,
