datetime,timestamp,gmtoffset,open,high,low,close,volume
2025-08-18 13:30:00,1755523800,0,231.779998,232.460006,231.369995,231.953094,2327587.0
2025-08-18 13:35:00,1755524100,0,231.934997,232.138305,231.339996,232.044204,531048.0
2025-08-18 13:40:00,1755524400,0,232.050003,232.244995,231.440002,232.050003,550916.0
2025-08-18 13:45:00,1755524700,0,232.0,232.729995,231.830001,232.276794,586548.0
2025-08-18 13:50:00,1755525000,0,232.257507,232.36,231.899993,231.999893,571217.0
2025-08-18 13:55:00,1755525300,0,231.990005,232.498794,231.949996,232.350006,544269.0
2025-08-18 14:00:00,1755525600,0,232.350006,233.0,232.149993,232.820007,791104.0
2025-08-18 14:05:00,1755525900,0,232.830001,233.119995,232.419998,232.419998,522665.0
2025-08-18 14:10:00,1755526200,0,232.410003,232.410003,231.509994,231.550003,815301.0
2025-08-18 14:15:00,1755526500,0,231.574996,231.679992,231.074493,231.139999,716540.0
2025-08-18 14:20:00,1755526800,0,231.139999,231.729995,231.020004,231.689498,737961.0
2025-08-18 14:25:00,1755527100,0,231.684997,231.742996,230.61,230.660003,653374.0
2025-08-18 14:30:00,1755527400,0,230.619995,231.149993,230.369995,231.050094,557257.0
2025-08-18 14:35:00,1755527700,0,231.039993,231.080001,230.580001,230.625,437212.0
2025-08-18 14:40:00,1755528000,0,230.625,230.869995,230.520095,230.729995,469039.0
2025-08-18 14:45:00,1755528300,0,230.729995,230.960006,230.500198,230.809997,520149.0
2025-08-18 14:50:00,1755528600,0,230.820007,230.960006,230.639999,230.876205,346637.0
2025-08-18 14:55:00,1755528900,0,230.889999,230.910003,230.5,230.509994,434544.0
2025-08-18 15:00:00,1755529200,0,230.530502,230.686904,230.470001,230.649993,544020.0
2025-08-18 15:05:00,1755529500,0,230.630004,231.219696,230.61,231.134994,511867.0
2025-08-18 15:10:00,1755529800,0,231.159896,231.199996,230.830001,230.835006,244435.0
2025-08-18 15:15:00,1755530100,0,230.839996,231.139999,230.789993,231.134994,277012.0
2025-08-18 15:20:00,1755530400,0,231.130004,231.220001,230.865005,230.960006,183213.0
2025-08-18 15:25:00,1755530700,0,230.960006,231.085006,230.789993,230.86,211419.0
2025-08-18 15:30:00,1755531000,0,230.865005,230.895004,230.600006,230.800003,358037.0
2025-08-18 15:35:00,1755531300,0,230.800003,230.979995,230.690002,230.764999,319972.0
2025-08-18 15:40:00,1755531600,0,230.759994,230.7816,230.5,230.725006,251739.0
2025-08-18 15:45:00,1755531900,0,230.715805,231.039993,230.710006,230.910003,346996.0
2025-08-18 15:50:00,1755532200,0,230.919998,230.985,230.789993,230.839996,182995.0
2025-08-18 15:55:00,1755532500,0,230.830001,231.009994,230.809997,230.904998,209844.0
2025-08-18 16:00:00,1755532800,0,230.899993,231.070007,230.809997,230.889999,180030.0
2025-08-18 16:05:00,1755533100,0,230.889801,231.080001,230.869995,231.035995,225942.0
2025-08-18 16:10:00,1755533400,0,231.044998,231.100006,230.755004,230.768493,212546.0
2025-08-18 16:15:00,1755533700,0,230.759994,231.029998,230.759994,231.005004,204079.0
2025-08-18 16:20:00,1755534000,0,231.005004,231.100006,230.75,230.751007,241144.0
2025-08-18 16:25:00,1755534300,0,230.75,230.820007,230.654998,230.679992,225707.0
2025-08-18 16:30:00,1755534600,0,230.679992,230.759994,230.470001,230.479995,266207.0
2025-08-18 16:35:00,1755534900,0,230.470001,230.539993,230.280303,230.350006,312781.0
2025-08-18 16:40:00,1755535200,0,230.339996,230.419998,230.158996,230.244995,301560.0
2025-08-18 16:45:00,1755535500,0,230.25,230.279998,230.11,230.248397,329615.0
2025-08-18 16:50:00,1755535800,0,230.25,230.455001,230.138397,230.289993,288597.0
2025-08-18 16:55:00,1755536100,0,230.3013,230.61,230.3013,230.595001,183166.0
2025-08-18 17:00:00,1755536400,0,230.690093,230.789901,230.679992,230.759994,237973.0
2025-08-18 17:05:00,1755536700,0,230.774993,230.865005,230.720001,230.794998,210245.0
